,Day 3,Day 5,Day 10,Day 12,Day 14,Day 18,Day 22,Day 23,Day 26,Day 27,Day 28,Day 30,Day 38,Day 39,Day 40,Day 41,Day 45
tr|G3HR10|G3HR10_CRIGR,6.08168E-06,4.23624E-06,1.27799E-05,3.283E-05,2.62418E-05,4.2064E-05,9.6466E-06,1.64774E-05,1.38842E-05,4.80548E-06,3.39739E-05,3.75221E-05,1.54292E-05,3.62326E-05,1.98183E-05,2.05585E-05,5.32046E-05
tr|G3HR57|G3HR57_CRIGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|G3HR63|G3HR63_CRIGR,2.46369E-05,3.01674E-05,3.61963E-05,4.56869E-05,5.93629E-05,4.21279E-05,7.04646E-05,7.02162E-05,9.12558E-05,6.75566E-05,8.96706E-05,8.2752E-05,7.77353E-05,8.47976E-05,8.306E-05,4.22444E-05,7.42899E-05
tr|G3HR88|G3HR88_CRIGR,0,1.78411E-05,3.2899E-05,9.78581E-06,5.54891E-06,2.95974E-05,3.21127E-05,5.90959E-06,8.54517E-06,1.72025E-05,1.256E-05,2.26129E-05,1.11348E-05,1.31503E-05,1.33441E-05,1.43622E-05,5.01922E-06
tr|G3HR95|G3HR95_CRIGR,1.11511E-05,2.11812E-05,1.53268E-05,1.18074E-05,6.58521E-06,1.86452E-05,1.50288E-05,1.51169E-05,1.88947E-05,2.64175E-05,2.61756E-05,1.7767E-05,9.48234E-06,1.65459E-05,2.06951E-05,1.76673E-05,2.08977E-05
tr|G3HR96|G3HR96_CRIGR,6.67601E-05,7.01039E-05,0.000437044,0.000537235,0.000494904,0.000464011,0.000638729,0.000271387,0.000535716,0.000658294,0.00054169,0.000818205,0.000416407,0.00072135,0.000697046,0.00065567,0.000893379
tr|G3HRA3|G3HRA3_CRIGR,0,0,2.67635E-06,3.21913E-06,0,1.83749E-06,0,0,0,0,0,0,0,0,0,0,3.91878E-06
tr|G3HRD0|G3HRD0_CRIGR,0,4.72957E-06,7.13309E-06,5.68557E-06,7.97416E-06,1.41246E-06,0,0,2.15089E-06,3.59385E-06,6.62346E-06,4.18848E-06,5.48689E-06,6.56589E-06,2.28133E-06,5.88234E-06,1.40353E-05
tr|G3HRD3|G3HRD3_CRIGR,0.000100906,7.25569E-05,8.77244E-05,0.000106952,4.404E-05,0.000109955,0.000111781,6.34625E-05,0.000106204,8.33549E-05,6.74312E-05,4.12388E-05,0.000138459,0.000126023,0.000100831,0.000145565,7.69201E-05
tr|G3HRD9|G3HRD9_CRIGR,0.00016883,0.000120147,0.000353712,0.000381831,0.000469633,0.000486311,0.000501931,0.000565538,0.000553624,0.00057756,0.000510231,0.000574097,0.000717812,0.000733746,0.000660379,0.00073813,0.000949662
tr|G3HRE2|G3HRE2_CRIGR,0,0,1.2825E-05,1.20275E-05,7.565E-06,8.69144E-06,5.34872E-06,8.67949E-06,4.05434E-06,4.30885E-06,5.15105E-06,2.36103E-06,5.47578E-06,3.71119E-06,4.67693E-06,3.6113E-06,1.61735E-06
tr|G3HRF0|G3HRF0_CRIGR,2.99487E-05,3.5108E-05,4.52915E-05,5.03215E-05,5.01546E-05,5.00707E-05,2.9214E-05,2.05298E-05,1.8706E-05,3.0394E-05,2.2371E-05,2.84055E-05,2.04222E-05,9.71474E-06,2.56717E-05,2.83036E-05,1.48389E-05
tr|G3HRF8|G3HRF8_CRIGR,9.26002E-05,0.00010728,0.000122479,9.92849E-05,4.74172E-05,0.000118284,8.95597E-05,9.15968E-05,8.87984E-05,0.000130249,0.000117944,9.77533E-05,9.76747E-05,0.000126562,0.000112313,0.000155866,0.000142495
tr|G3HRG8|G3HRG8_CRIGR,0.000154689,0.000183901,2.97169E-05,7.17824E-05,6.08374E-05,8.88607E-05,0.000102335,0.000102899,0.000193366,9.48042E-05,0.000112895,0.00017729,0.000133986,0.000182177,9.28396E-05,0.000117522,0.000152827
tr|G3HRI3|G3HRI3_CRIGR,0,1.78908E-05,2.12559E-05,3.6073E-05,4.96778E-05,0,1.45383E-05,0,7.71021E-05,1.39119E-05,7.85257E-05,2.12701E-05,1.42067E-05,5.73848E-05,5.66169E-05,0,3.7432E-05
tr|G3HRJ1|G3HRJ1_CRIGR,1.83641E-05,2.69135E-05,0.000160969,0.000173953,0.000165125,0.00014528,0.000102362,0.000122782,7.70749E-05,5.63815E-05,0.000106325,8.29834E-05,6.8478E-05,7.18164E-05,8.47461E-05,8.5589E-05,4.89324E-05
tr|G3HRJ2|G3HRJ2_CRIGR,8.43562E-07,2.71431E-07,3.99196E-07,3.21707E-06,1.94982E-06,2.71617E-06,1.02517E-06,4.46147E-06,3.38745E-06,1.32294E-06,1.52432E-07,6.2291E-07,4.54166E-06,2.49822E-06,1.39618E-06,1.40272E-06,2.9724E-06
tr|G3HRJ5|G3HRJ5_CRIGR,0.000261569,0.000292437,0.000263407,0.000193533,0.000164242,0.000200447,0.000274629,0.000355692,0.000314144,0.00030725,0.000230802,0.000197745,0.00026749,0.000201808,0.000212588,0.000203479,0.000119781
tr|G3HRJ7|G3HRJ7_CRIGR,0,0,6.96475E-07,2.4777E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|G3HRK0|G3HRK0_CRIGR,0.000522372,0.000337594,0.000600427,0.000795629,0.000420445,0.000865755,0.000692383,0.000608915,0.000484878,0.000440282,0.00035922,0.000394087,0.000673338,0.000579722,0.000558033,0.000599981,0.000170068
tr|G3HRK4|G3HRK4_CRIGR,0,0,0,1.77554E-05,1.28432E-05,3.05169E-05,4.19446E-05,6.66548E-06,7.63757E-06,0,2.94506E-06,8.19101E-06,3.38026E-06,6.71534E-06,4.9229E-06,5.96932E-06,5.66558E-06
tr|G3HRK5|G3HRK5_CRIGR,0,0,4.34457E-06,0,0,0,0,0,0,0,0,0,0,0,0,3.21221E-06,0
tr|G3HRK8|G3HRK8_CRIGR,1.86058E-05,4.4924E-05,3.90771E-05,4.3049E-05,1.33515E-05,1.07552E-05,0,2.63696E-05,6.80668E-06,9.86229E-06,3.43051E-05,1.09053E-05,1.63939E-05,1.82107E-05,9.96002E-06,4.14616E-06,4.9651E-05
tr|G3HRK9|G3HRK9_CRIGR,0.000313548,0.000309646,0.001125931,0.000702172,0.000928587,0.000364993,0.00074979,0.000483094,0.000665564,0.000923193,0.00032256,0.000757856,0.000460771,0.000640833,0.000448086,0.000446781,0.000169002
